participantId,timestamp,x,y,z
1,111120,1582,-2151,3239
1,111161,1562,-2154,3296
1,111202,1549,-2142,3289
1,111241,1547,-2117,3279
1,111281,1543,-2210,3278
1,111322,1584,-2143,3267
1,111362,1546,-2124,3283
1,111403,1525,-2140,3268
1,111442,1548,-2166,3241
1,111483,1516,-2172,3299
1,111523,1578,-2120,3267
1,111563,1557,-2141,3287
1,111604,1549,-2120,3280
1,111644,1534,-2157,3311
1,111684,1546,-2136,3254
1,111724,1571,-2157,3310
1,111764,1565,-2110,3267
1,111805,1533,-2198,3235
1,111845,1546,-2161,3343
1,111885,1531,-2164,3265
1,111925,1544,-2111,3298
1,111966,1578,-2195,3320
1,112007,1550,-2135,3256
1,112046,1566,-2143,3279
1,112086,1510,-2157,3292
1,112127,1515,-2116,3331
1,112167,1595,-2088,3302
1,112208,1598,-2141,3238
1,112247,1579,-2214,3306
1,112288,1552,-2172,3265
1,112328,1555,-2134,3317
1,112368,1541,-2109,3298
1,112409,1560,-2150,3302
1,112449,1542,-2138,3302
1,112489,1601,-2089,3241
1,112529,1530,-2147,3284
1,112569,1568,-2127,3291
1,112610,1573,-2154,3246
1,112643,1562,-2160,3306
1,112684,1550,-2140,3252
1,112724,1570,-2145,3321
1,112764,1525,-2184,3301
1,112805,1520,-2198,3294
1,112844,1550,-2154,3308
1,112884,1535,-2139,3229
1,112924,1576,-2139,3313
1,112964,1505,-2156,3313
1,113005,1633,-2048,3282
1,113044,1492,-2245,3302
1,113084,1549,-2153,3258
1,113124,1525,-2182,3282
1,113164,1547,-2119,3302
1,113205,1502,-2175,3290
1,113244,1539,-2168,3296
1,113285,1565,-2160,3298
1,113325,1550,-2190,3285
1,113365,1508,-2139,3344
1,113406,1541,-2144,3272
1,113445,1509,-2164,3256
1,113485,1578,-2179,3299
1,113526,1537,-2177,3236
1,113566,1550,-2156,3273
1,113607,1523,-2158,3280
1,113647,1512,-2095,3296
1,113687,1541,-2122,3324
1,113727,1525,-2193,3254
1,113767,1534,-2180,3326
1,113808,1559,-2174,3280
1,113847,1528,-2174,3286
1,113888,1508,-2147,3273
1,113928,1547,-2127,3308
1,113968,1557,-2130,3305
1,114009,1535,-2200,3289
1,114048,1554,-2207,3322
1,114088,1552,-2164,3229
1,114129,1547,-2109,3302
1,114169,1576,-2093,3297
1,114209,1525,-2208,3267
1,114249,1554,-2237,3260
1,114289,1559,-2136,3284
1,114329,1557,-2125,3263
1,114369,1534,-2138,3288
1,114410,1580,-2183,3296
1,114450,1529,-2156,3218
1,114490,1557,-2155,3348
1,114530,1554,-2171,3281
1,114570,1571,-2130,3288
1,114611,1500,-2166,3344
1,114651,1568,-2215,3248
1,114691,1547,-2190,3272
1,114731,1577,-2145,3278
1,114771,1562,-2097,3296
1,114812,1511,-2170,3311
1,114852,1572,-2181,3300
1,114892,1579,-2148,3236
1,114932,1598,-2134,3271
1,114972,1529,-2143,3258
1,115013,1572,-2179,3304
1,115052,1579,-2170,3280
1,115093,1554,-2162,3254
1,115133,1588,-2156,3290
1,115173,1542,-2172,3229
1,115214,1576,-2162,3298
1,115254,1548,-2180,3276
1,115294,1569,-2111,3270
1,115336,1584,-2138,3290
1,115376,1562,-2146,3259
1,115417,1542,-2198,3342
1,115456,1546,-2137,3245
1,115497,1532,-2135,3266
1,115537,1569,-2159,3308
1,115577,1543,-2160,3227
1,115618,1577,-2160,3317
1,115658,1595,-2134,3278
1,115698,1522,-2176,3269
1,115738,1537,-2174,3287
1,115778,1546,-2163,3280
1,115820,1533,-2158,3320
1,115859,1573,-2136,3265
1,115899,1493,-2186,3284
1,115940,1567,-2193,3304
1,115980,1502,-2133,3295
1,116021,1553,-2169,3254
1,116060,1569,-2157,3261
1,116100,1528,-2179,3306
1,116141,1546,-2169,3275
1,116181,1576,-2152,3272
1,116222,1495,-2168,3318
1,116261,1527,-2153,3222
1,116302,1522,-2224,3346
1,116342,1547,-2146,3256
1,116382,1528,-2176,3268
1,116423,1575,-2196,3280
1,116463,1543,-2164,3254
1,116503,1531,-2194,3267
1,116543,1605,-2130,3287
1,116583,1541,-2151,3258
1,116625,1574,-2204,3291
1,116664,1533,-2171,3286
1,116704,1527,-2121,3300
1,116744,1550,-2102,3277
1,116785,1556,-2186,3293
1,116826,1555,-2190,3250
1,116865,1584,-2213,3293
1,116906,1553,-2139,3308
1,116946,1541,-2114,3256
1,116986,1566,-2151,3309
1,117027,1513,-2095,3252
1,117066,1536,-2166,3311
1,117107,1543,-2155,3274
1,117147,1552,-2139,3300
1,117187,1547,-2176,3269
1,117228,1549,-2174,3293
1,117268,1570,-2170,3289
1,117308,1586,-2151,3247
1,117348,1572,-2147,3276
1,117388,1606,-2160,3224
1,117429,1553,-2238,3293
1,117469,1605,-2161,3277
1,117509,1509,-2093,3267
1,117549,1582,-2145,3287
1,117589,1558,-2088,3307
1,117630,1456,-2129,3324
1,117670,1534,-2147,3384
1,117710,1523,-2163,3392
1,117750,1467,-2079,3332
1,117790,1518,-2072,3332
1,117831,1657,-2059,3295
1,117871,1693,-2097,3237
1,117911,1663,-2231,3187
1,117951,1640,-2238,3142
1,117991,1605,-2278,3280
1,118032,1545,-2318,3222
1,118071,1573,-2271,3314
1,118112,1527,-2195,3281
1,118152,1643,-2128,3249
1,118192,1557,-2235,3279
1,118233,1664,-2135,3144
1,118272,1618,-2114,3239
1,118312,1755,-2125,3172
1,118353,1561,-2256,3155
1,118393,1473,-2238,3328
1,118433,1463,-2243,3328
1,118473,1560,-2197,3234
1,118513,1687,-2218,3241
1,118553,1656,-2211,3144
1,118593,1636,-2232,3156
1,118634,1616,-2160,3238
1,118674,1602,-2174,3195
1,118714,1584,-2245,3204
1,118754,1631,-2324,3219
1,118794,1515,-2366,3160
1,118835,1670,-2227,3217
1,118874,1568,-2214,3263
1,118915,1578,-2168,3175
1,118955,1532,-2281,3268
1,118995,1608,-2257,3223
1,119036,1513,-2263,3252
1,119075,1579,-2221,3220
1,119115,1529,-2184,3254
1,119156,1526,-2224,3236
1,119196,1573,-2175,3217
1,119237,1559,-2202,3271
1,119276,1518,-2291,3199
1,119316,1543,-2237,3262
1,119356,1546,-2222,3290
1,119397,1540,-2164,3219
1,119438,1602,-2248,3233
1,119477,1609,-2238,3190
1,119517,1593,-2232,3202
1,119558,1588,-2196,3259
1,119598,1526,-2285,3095
1,119639,1495,-2259,3301
1,119679,1499,-2175,3326
1,119719,1544,-2159,3239
1,119759,1537,-2184,3282
1,119799,1558,-2204,3277
1,119840,1504,-2145,3271
1,119880,1616,-2207,3201
1,119920,1611,-2219,3265
1,119960,1577,-2216,3219
1,120000,1559,-2273,3209
